Age Range,Occupation,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
15 - 19 Years,  Managers & Administrators (Including Working Proprietors),na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1,-,-,0.1
15 - 19 Years,  Professionals,0.7,0.5,0.2,0.2,0.1,0.3,0.3,0.2,0.3,0.2,0.2,0.4,0.4,0.3,0.8,-,0.4,0.6
15 - 19 Years,  Associate Professionals & Technicians,2.2,3,2.9,2.2,1.7,1.6,2,1.2,2.1,2.1,1.3,1.6,2.3,1.3,2.4,1.4,2.2,2
15 - 19 Years,  Clerical Support Workers,3.1,3.5,3.4,5.6,3.5,5.3,5.9,4.8,4.1,6.2,4.1,4.7,5.5,4.9,5.3,4.2,5.5,4.3
15 - 19 Years,  Service & Sales Workers,6.5,10.2,6.8,6.6,6.1,8.7,9.4,8.5,9.9,9.8,8.2,8.6,8.5,8.5,9.9,7.9,8.7,10.3
15 - 19 Years,  Craftsmen & Related Trade Workers,0.6,0.2,0.5,0.1,0.4,0.1,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.3,-
15 - 19 Years,  Plant & Machine Operators & Assemblers,0.5,0.2,1.1,0.5,0.8,0.7,0.4,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.6,0.3,0.4,0.4
15 - 19 Years,"  Cleaners, Labourers & Related Workers",1.8,2.1,1.7,2.9,1.8,1.9,1.5,1.7,1.9,2.2,2,1.6,1.8,2.1,1.8,1.7,1.8,1.5
15 - 19 Years,  Others,9.7,10.4,10.2,8.9,12,14.1,15.3,15.8,16,15.6,12.2,11.3,11.9,13.6,16,11.8,12,14.1
20 - 24 Years,  Managers & Administrators (Including Working Proprietors),0.6,0.6,1.1,1.1,0.5,0.9,0.7,1,0.9,1.6,1,1.7,2.1,1.9,2.6,1.7,2,2.5
20 - 24 Years,  Professionals,15.9,18.2,14.7,19,11.1,15.6,14.1,12.6,13.3,14.9,13.9,13.1,17.6,18,19.9,15,18.6,16.1
20 - 24 Years,  Associate Professionals & Technicians,23.1,22.2,25.2,24.5,25.8,28.4,28.6,27.9,30.9,31.9,24.8,23.2,25.7,24.2,23.1,22.2,23.2,22.5
20 - 24 Years,  Clerical Support Workers,12,14,13.2,21.4,19.3,21.9,26.6,24.8,28.3,30.6,31.7,30.9,32.4,30.4,28.2,24.9,27.3,25.4
20 - 24 Years,  Service & Sales Workers,17,17.3,13.3,16.5,17.2,21.2,21.1,21.5,24.9,24.2,23.7,22,24.9,23,22.8,19.6,20,21
20 - 24 Years,  Craftsmen & Related Trade Workers,1.7,1.7,1.9,1.8,2.3,2.1,1.8,2.5,3.1,3.1,2.2,2.4,2.2,1.8,2.1,1.1,2,2.8
